QueryIteration,LatencyMS
764,6.8864
765,3.4036
766,2.8597
767,6.2543
768,4.0551
769,2.0325
770,4.6269
771,4.1577
772,4.6532
773,12.1029
774,4.4004
775,2.6924
776,3.1345
777,4.58
778,2.4993
779,11.8931
780,6.8981
781,2.9559
782,3.4219
783,5.0062
784,2.5355
785,1.8753
786,2.4105
787,8.6502
788,7.3115
789,7.8947
790,2.45
791,5.0297
792,8.4181
793,7.665
794,11.166
795,4.9407
796,7.0078
797,4.2671
798,5.383
799,2.6652
800,6.604
801,3.3688
802,5.1837
803,3.7952
804,3.1708
805,8.4945
806,5.0395
807,4.6564
808,3.491
809,6.4228
810,3.9682
811,5.2215
812,12.3115
813,4.7853
814,3.5494
815,3.1248
816,6.7397
817,5.0233
818,3.0645
819,4.0219
820,6.4745
821,7.5567
822,6.5357
823,5.8591
824,5.1331
825,8.3187
826,10.9078
827,7.0468
828,7.0007
829,4.58
830,2.4023
831,12.9238
832,5.5945
833,3.253
834,10.1287
835,3.714
836,2.0374
837,2.0782
838,8.4672
839,9.2269
840,4.6461
841,2.8609
842,5.9541
843,6.6635
844,3.5928
845,6.579
846,5.5566
847,3.3969
848,1.8532
849,9.9698
850,15.172
851,4.535
852,5.7371
853,4.4546
854,8.4285
855,5.8369
856,4.4435
857,6.6446
858,4.5289
859,5.0079
860,5.0556
861,6.4717
862,5.2066
863,11.2243
864,2.1501
865,7.0684
866,4.4109
867,3.5148
868,4.0725
869,2.0621
870,4.1575
871,2.4516
872,3.1546
873,6.0885
874,9.4211
875,4.5779
876,10.1768
877,7.3586
878,3.9071
879,4.8741
880,5.3263
881,5.7059
882,5.577
883,4.7582
884,2.2421
885,3.6216
886,1.8593
887,2.7509
888,2.7162
889,11.1356
890,14.558
891,9.3842
892,10.5843
893,2.7699
894,4.7991
895,3.1362
896,1.9101
897,1.951
898,6.5072
899,6.404
900,2.021
901,4.2916
902,6.0705
903,3.7724
904,14.2016
905,8.4394
906,11.5457
907,4.6169
908,2.1825
909,37.3501
910,2.2964
911,9.3943
912,11.2638
913,6.4568
914,2.158
915,4.9431
916,5.9223
917,5.4089
918,4.6236
919,3.4212
920,4.9731
921,11.8035
922,3.4947
923,8.7317
924,4.0213
925,6.2988
926,6.6518
927,3.707
928,5.0688
929,5.0335
930,7.5839
931,6.1241
932,5.0059
933,5.3817
934,3.5991
935,3.0313
936,6.3517
937,5.315
938,3.2674
939,3.1784
940,2.4297
941,6.5779
942,5.7254
943,6.3746
944,2.7348
945,3.3831
946,8.1112
947,2.2073
948,4.0496
949,4.7951
950,2.121
951,12.3656
952,5.3315
953,5.9641
954,5.7955
955,5.4906
956,3.9642
957,4.9418
958,2.215
959,8.7637
960,6.626
961,4.9232
962,5.0474
963,6.7871
964,5.0151
965,6.6822
966,6.0985
967,2.6594
968,6.903
969,3.2686
970,10.7116
971,8.9499
972,4.1352
973,8.9376
974,4.065
975,3.841
976,5.5798
977,3.8066
978,5.3132
979,6.7846
980,3.8293
981,4.0563
982,2.2331
983,6.5564
984,5.3717
985,4.065
986,2.8258
987,6.9704
988,3.5499
989,9.4224
990,9.5322
991,4.7289
992,1.895
993,11.6469
994,7.889
995,8.1556
996,5.5191
997,5.4921
998,2.4189
999,4.6081
1000,5.0489
